"Date","Price","Open","High","Low","Vol.","Change %"
"11/15/2020","2.7658","2.7658","2.7658","2.7658","","-0.51%"
"11/08/2020","2.7801","2.7801","2.7801","2.7801","","-4.09%"
"11/01/2020","2.8988","2.8988","2.8988","2.8988","","4.04%"
"10/25/2020","2.7862","2.7862","2.7862","2.7862","","3.30%"
"10/18/2020","2.6971","2.6971","2.6971","2.6971","","-0.89%"
"10/11/2020","2.7212","2.7212","2.7212","2.7212","","0.38%"
"10/04/2020","2.7109","2.7109","2.7109","2.7109","","2.19%"
"09/27/2020","2.6528","2.6528","2.6528","2.6528","","1.51%"
"09/20/2020","2.6134","2.6134","2.6134","2.6134","","0.47%"
"09/13/2020","2.6012","2.6012","2.6012","2.6012","","0.44%"
"09/06/2020","2.5898","2.5898","2.5898","2.5898","","0.71%"
"08/30/2020","2.5716","2.5716","2.5716","2.5716","","2.01%"
"08/23/2020","2.5209","2.5209","2.5209","2.5209","","1.28%"
"08/16/2020","2.4891","2.4891","2.4891","2.4891","","0.37%"
"08/09/2020","2.4800","2.4800","2.4800","2.4800","","4.37%"
"08/02/2020","2.3762","2.3762","2.3762","2.3762","","-0.72%"
"07/26/2020","2.3934","2.3934","2.3934","2.3934","","-0.34%"
"07/19/2020","2.4015","2.4015","2.4015","2.4015","","1.20%"
"07/12/2020","2.3729","2.3729","2.3729","2.3729","","-0.28%"
"07/05/2020","2.3796","2.3796","2.3796","2.3796","","-0.14%"
"06/28/2020","2.3830","2.3830","2.3830","2.3830","","0.82%"
"06/21/2020","2.3636","2.3636","2.3636","2.3636","","-0.96%"
"06/14/2020","2.3865","2.3865","2.3865","2.3865","","1.15%"
"06/07/2020","2.3595","2.3595","2.3595","2.3595","","0.29%"
"05/31/2020","2.3526","2.3526","2.3526","2.3526","","1.79%"
"05/24/2020","2.3113","2.3113","2.3113","2.3113","","-0.47%"
"05/17/2020","2.3222","2.3222","2.3222","2.3222","","0.84%"
"05/10/2020","2.3029","2.3029","2.3029","2.3029","","-2.56%"
"05/03/2020","2.3633","2.3633","2.3633","2.3633","","2.15%"
