"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2016","0.0475","0.0475","0.0475","0.0475","","8.97%"
"02/01/2016","0.0436","0.0436","0.0436","0.0436","","2.61%"
"01/01/2016","0.0425","0.0425","0.0425","0.0425","","-0.72%"
"12/01/2015","0.0428","0.0428","0.0428","0.0428","","-1.61%"
"11/01/2015","0.0435","0.0435","0.0435","0.0435","","-3.14%"
"10/01/2015","0.0449","0.0449","0.0449","0.0449","","5.03%"
"09/01/2015","0.0427","0.0427","0.0427","0.0427","","-0.72%"
"08/01/2015","0.0430","0.0430","0.0430","0.0430","","-5.41%"
"07/01/2015","0.0455","0.0455","0.0455","0.0455","","-5.43%"
"06/01/2015","0.0481","0.0481","0.0481","0.0481","","-2.49%"
"05/01/2015","0.0493","0.0493","0.0493","0.0493","","-2.97%"
"04/01/2015","0.0509","0.0509","0.0509","0.0509","","4.59%"
"03/01/2015","0.0486","0.0486","0.0486","0.0486","","-5.78%"
"02/01/2015","0.0516","0.0516","0.0516","0.0516","","-4.02%"
"01/01/2015","0.0538","0.0538","0.0538","0.0538","","7.28%"
"12/01/2014","0.0501","0.0501","0.0501","0.0501","","-1.61%"
"11/01/2014","0.0509","0.0509","0.0509","0.0509","","7.06%"
"10/01/2014","0.0476","0.0476","0.0476","0.0476","","6.90%"
"09/01/2014","0.0445","0.0445","0.0445","0.0445","","-8.98%"
"08/01/2014","0.0489","0.0489","0.0489","0.0489","","-4.74%"
"07/01/2014","0.0513","0.0513","0.0513","0.0513","","8.02%"
"06/01/2014","0.0475","0.0475","0.0475","0.0475","","-2.40%"
"05/01/2014","0.0487","0.0487","0.0487","0.0487","","13.13%"
"04/01/2014","0.0430","0.0430","0.0430","0.0430","","4.61%"
"03/01/2014","0.0411","0.0411","0.0411","0.0411","","13.99%"
"02/01/2014","0.0361","0.0361","0.0361","0.0361","","-1.87%"
"01/01/2014","0.0368","0.0368","0.0368","0.0368","","-8.15%"
"12/01/2013","0.0400","0.0400","0.0400","0.0400","","-9.16%"
"11/01/2013","0.0441","0.0441","0.0441","0.0441","","-6.34%"
"10/01/2013","0.0471","0.0471","0.0471","0.0471","","4.02%"
"09/01/2013","0.0452","0.0452","0.0452","0.0452","","12.85%"
"08/01/2013","0.0401","0.0401","0.0401","0.0401","","-10.13%"
"07/01/2013","0.0446","0.0446","0.0446","0.0446","","-4.13%"
"06/01/2013","0.0465","0.0465","0.0465","0.0465","","-14.45%"
"05/01/2013","0.0544","0.0544","0.0544","0.0544","","2.75%"
"04/01/2013","0.0529","0.0529","0.0529","0.0529","","1.40%"
"03/01/2013","0.0522","0.0522","0.0522","0.0522","","8.60%"
"02/01/2013","0.0481","0.0481","0.0481","0.0481","","-2.04%"
"01/01/2013","0.0491","0.0491","0.0491","0.0491","","0.12%"
"12/01/2012","0.0490","0.0490","0.0490","0.0490","","7.93%"
"11/01/2012","0.0454","0.0454","0.0454","0.0454","","0.41%"
"10/01/2012","0.0452","0.0452","0.0452","0.0452","","8.79%"
"09/01/2012","0.0416","0.0416","0.0416","0.0416","","0.00%"
"08/01/2012","0.0416","0.0416","0.0416","0.0416","","2.76%"
"07/01/2012","0.0404","0.0404","0.0404","0.0404","","5.57%"
"06/01/2012","0.0383","0.0383","0.0383","0.0383","","12.66%"
"05/01/2012","0.0340","0.0340","0.0340","0.0340","","-7.96%"
"04/01/2012","0.0369","0.0369","0.0369","0.0369","","-2.22%"
"03/01/2012","0.0378","0.0378","0.0378","0.0378","","3.06%"
"02/01/2012","0.0367","0.0367","0.0367","0.0367","","2.35%"
"01/01/2012","0.0358","0.0358","0.0358","0.0358","","12.39%"
"12/01/2011","0.0319","0.0319","0.0319","0.0319","","-1.51%"
"11/01/2011","0.0324","0.0324","0.0324","0.0324","","-9.44%"
"10/01/2011","0.0357","0.0357","0.0357","0.0357","","-7.81%"
"09/01/2011","0.0388","0.0388","0.0388","0.0388","","11.91%"
"08/01/2011","0.0346","0.0346","0.0346","0.0346","","-14.17%"
"07/01/2011","0.0403","0.0403","0.0403","0.0403","","-0.59%"
"06/01/2011","0.0406","0.0406","0.0406","0.0406","","1.88%"
"05/01/2011","0.0398","0.0398","0.0398","0.0398","","-9.57%"
