country,time,household
CHL,2004,337.4853
CHL,2005,330.0782
CHL,2006,328.9821
CHL,2007,344.2058
CHL,2008,308.4736
CHL,2009,336.8127
CHL,2010,326.1678
CHL,2011,302.6017
CHL,2012,289.8458
CHL,2013,295.0892
CHL,2014,316.6957
CHL,2015,323.1284
CHL,2016,317.2226
CHL,2017,327.1024
CHL,2018,327.542
CHL,2019,345.1718
CHL,2020,317.171
NOR,1995,245.8361
NOR,1996,251.4922
NOR,1997,258.791
NOR,1998,246.0425
NOR,1999,256.5715
NOR,2000,256.5006
NOR,2001,261.2012
NOR,2002,244.2613
NOR,2003,241.5652
NOR,2004,255.9226
NOR,2005,264.9749
NOR,2006,307.1696
NOR,2007,316.8372
NOR,2008,295.4337
NOR,2009,301.224
NOR,2010,302.5387
NOR,2011,301.7962
NOR,2012,306.3759
NOR,2013,310.1689
NOR,2014,319.4413
NOR,2015,315.2394
NOR,2016,329.0519
NOR,2017,338.8752
NOR,2018,340.1984
NOR,2019,350.8542
GRC,1995,357.7452
GRC,1996,364.4657
GRC,1997,394.2156
GRC,1998,416.0724
GRC,1999,507.5639
GRC,2000,446.9465
GRC,2001,409.9827
GRC,2002,377.0677
GRC,2003,359.4781
GRC,2004,359.8544
GRC,2005,383.7563
GRC,2006,380.2661
GRC,2007,374.9548
GRC,2008,319.6659
GRC,2009,317.5412
GRC,2010,318.0253
GRC,2011,329.9374
GRC,2012,368.4424
GRC,2013,423.0504
GRC,2014,409.436
GRC,2015,393.5415
GRC,2016,386.3635
GRC,2017,396.3607
GRC,2018,365.4583
GRC,2019,361.7291
KOR,2008,272.5365
KOR,2009,305.4251
KOR,2010,319.0108
KOR,2011,312.853
KOR,2012,321.9216
KOR,2013,324.7779
KOR,2014,335.4108
KOR,2015,337.4863
KOR,2016,346.2939
KOR,2017,362.096
KOR,2018,357.8392
KOR,2019,372.4406
KOR,2020,404.8613
KOR,2021,425.4184
AUT,1995,318.3503
AUT,1996,331.7697
AUT,1997,345.013
AUT,1998,350.8672
AUT,1999,351.2296
AUT,2000,356.1291
AUT,2001,359.8342
AUT,2002,360.9031
AUT,2003,367.2281
AUT,2004,372.5252
AUT,2005,370.243
AUT,2006,374.7527
AUT,2007,379.1986
AUT,2008,369.0465
AUT,2009,395.7118
AUT,2010,408.4862
AUT,2011,406.3002
AUT,2012,407.8979
AUT,2013,427.0953
AUT,2014,432.6374
AUT,2015,439.2231
AUT,2016,438.7894
AUT,2017,446.7852
AUT,2018,444.5076
AUT,2019,452.3601
AUT,2020,486.0052
PRT,1995,383.5339
PRT,1996,377.6678
PRT,1997,378.9615
PRT,1998,376.7592
PRT,1999,374.0502
PRT,2000,375.5644
PRT,2001,374.6669
PRT,2002,368.1472
PRT,2003,374.4759
PRT,2004,384.6826
PRT,2005,386.3769
PRT,2006,396.2736
PRT,2007,390.4728
PRT,2008,381.4694
PRT,2009,387.3522
PRT,2010,389.1646
PRT,2011,378.5551
PRT,2012,373.4164
PRT,2013,379.2925
PRT,2014,394.6919
PRT,2015,394.7362
PRT,2016,395.4554
PRT,2017,410.6864
PRT,2018,419.1057
PRT,2019,424.0815
LVA,1995,354.3305
LVA,1996,324.683
LVA,1997,282.5365
LVA,1998,292.0563
LVA,1999,281.9741
LVA,2000,249.5679
LVA,2001,213.1481
LVA,2002,283.7198
LVA,2003,298.0585
LVA,2004,258.1085
LVA,2005,258.946
LVA,2006,323.6883
LVA,2007,343.5115
LVA,2008,302.1762
LVA,2009,235.6071
LVA,2010,257.4895
LVA,2011,320.0357
LVA,2012,345.2176
LVA,2013,356.6511
LVA,2014,360.1223
