"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2007","434.75","435.00","455.07","414.73","","-0.06%"
"03/01/2007","435.00","415.24","442.18","402.10","","4.76%"
"02/01/2007","415.24","423.54","441.89","413.66","","-1.96%"
"01/01/2007","423.54","533.07","427.60","394.20","","3.88%"
"12/01/2006","407.72","388.39","422.41","371.07","","4.98%"
"11/01/2006","388.39","378.98","402.23","365.99","","2.48%"
"10/01/2006","378.98","358.11","387.34","347.86","","5.83%"
"09/01/2006","358.11","360.65","381.90","347.76","","-0.70%"
"08/01/2006","360.65","355.57","380.48","335.70","","1.43%"
"07/01/2006","355.57","373.07","392.35","330.29","","-4.69%"
"06/01/2006","373.07","376.84","412.90","315.98","","-1.00%"
"05/01/2006","376.84","422.71","452.68","339.93","","-10.85%"
"04/01/2006","422.71","416.39","426.15","388.70","","1.52%"
"03/01/2006","416.39","447.38","482.12","405.30","","-6.93%"
"02/01/2006","447.38","430.59","460.41","401.90","","3.90%"
"01/01/2006","430.59","376.97","447.15","365.30","","14.22%"
"12/01/2005","376.97","355.24","392.33","348.67","","6.12%"
"11/01/2005","355.24","318.42","355.24","318.42","","11.56%"
"10/01/2005","318.42","344.98","384.62","307.08","","-7.70%"
"09/01/2005","344.98","311.41","360.73","309.41","","10.78%"
"08/01/2005","311.41","291.67","314.25","282.94","","6.77%"
"07/01/2005","291.67","291.95","297.88","278.05","","-0.10%"
"06/01/2005","291.95","266.01","303.99","265.85","","9.75%"
"05/01/2005","266.01","254.85","285.10","252.35","","4.38%"
"04/01/2005","254.85","267.92","279.41","242.84","","-4.88%"
"03/01/2005","267.92","289.57","293.34","245.61","","-7.48%"
"02/01/2005","289.57","286.13","298.67","269.86","","1.20%"
"01/01/2005","286.13","286.20","319.99","267.68","","-0.02%"
"12/01/2004","286.20","257.53","288.54","252.18","","11.13%"
"11/01/2004","257.53","267.12","278.94","249.24","","-3.59%"
"10/01/2004","267.12","262.21","287.29","259.73","","1.87%"
"09/01/2004","262.21","240.34","267.50","236.72","","9.10%"
"08/01/2004","240.34","233.83","242.75","223.42","","2.78%"
"07/01/2004","233.83","214.54","244.91","213.93","","8.99%"
"06/01/2004","214.54","228.34","230.73","199.23","","-6.04%"
"05/01/2004","228.34","238.91","245.23","221.94","","-4.42%"
"04/01/2004","238.91","236.96","244.19","222.07","","0.82%"
"03/01/2004","236.96","223.02","258.72","216.84","","6.25%"
"02/01/2004","223.02","184.59","235.16","180.25","","20.82%"
"01/01/2004","184.59","188.77","203.64","184.14","","-2.21%"
"12/01/2003","188.77","172.79","191.94","171.04","","9.25%"
"11/01/2003","172.79","181.73","186.28","172.79","","-4.92%"
