"Date","Price","Open","High","Low","Change %"
"05/02/2021","389.36","414.23","416.22","389.36","-6.03%"
"04/25/2021","414.33","422.19","427.07","414.28","-1.64%"
"04/18/2021","421.25","395.22","421.25","393.35","5.89%"
"04/11/2021","397.82","438.79","439.40","397.82","-9.56%"
"04/04/2021","439.88","444.60","446.08","432.81","-1.47%"
"03/28/2021","446.43","465.78","481.48","444.69","-2.06%"
"03/21/2021","455.82","307.20","458.59","307.20","50.55%"
"03/14/2021","302.76","323.29","326.22","302.76","-6.12%"
"03/07/2021","322.50","329.23","339.92","307.59","-1.89%"
"02/28/2021","328.72","316.40","328.72","300.88","3.95%"
"02/21/2021","316.23","282.10","316.23","282.10","11.69%"
"02/14/2021","283.13","286.87","290.82","283.13","-1.33%"
"02/07/2021","286.96","283.87","290.81","283.87","0.55%"
"01/31/2021","285.39","306.41","306.41","285.39","-7.18%"
"01/24/2021","307.48","325.17","328.11","307.48","-5.73%"
"01/17/2021","326.17","326.08","329.11","323.19","-0.28%"
"01/10/2021","327.07","308.42","327.07","308.42","5.87%"
"01/03/2021","308.95","306.50","313.90","305.55","1.13%"
"12/27/2020","305.50","319.25","320.36","305.50","-4.64%"
"12/20/2020","320.36","321.18","332.64","319.25","-0.29%"
"12/13/2020","321.29","354.47","375.30","321.29","-14.39%"
"12/06/2020","375.31","380.51","380.51","354.40","5.95%"
"11/29/2020","354.23","380.35","382.32","354.23","-6.96%"
"11/22/2020","380.72","367.51","392.05","367.51","2.79%"
"11/15/2020","370.37","398.09","406.81","369.88","-6.95%"
"11/08/2020","398.02","525.37","525.37","398.02","-23.94%"
"11/01/2020","523.28","556.80","558.56","512.89","-5.24%"
"10/25/2020","552.24","509.35","553.93","509.35","8.25%"
"10/18/2020","510.15","519.32","519.32","490.50","-1.43%"
"10/11/2020","517.56","504.42","529.09","504.23","2.64%"
"10/04/2020","504.24","515.25","525.07","496.70","-2.20%"
"09/27/2020","515.60","568.37","568.37","514.23","-4.45%"
"09/20/2020","539.61","512.35","568.37","506.48","3.36%"
"09/13/2020","522.06","512.36","522.06","503.18","2.95%"
"09/06/2020","507.10","505.37","512.81","505.33","-0.01%"
"08/30/2020","507.14","521.94","556.49","492.25","-3.03%"
"08/23/2020","523.00","549.53","549.53","523.00","-4.26%"
"08/16/2020","546.28","559.22","564.29","532.46","-2.27%"
"08/09/2020","558.96","576.10","576.10","531.86","-2.57%"
"08/02/2020","573.69","553.68","595.42","541.46","3.61%"
"07/26/2020","553.68","492.19","565.87","488.84","13.04%"
"07/19/2020","489.79","516.54","516.54","480.93","-5.55%"
"07/12/2020","518.59","516.84","520.94","514.08","0.15%"
"07/05/2020","517.80","477.12","517.80","439.75","12.93%"
"06/28/2020","458.52","487.00","487.34","458.52","-5.85%"
"06/21/2020","487.00","469.46","487.17","464.39","3.74%"
"06/14/2020","469.43","477.12","477.23","451.75","-1.64%"
"06/07/2020","477.24","451.75","477.24","424.88","5.55%"
"05/31/2020","452.15","550.60","550.60","451.58","-17.86%"
"05/24/2020","550.47","549.62","550.47","525.96","0.15%"
"05/17/2020","549.62","616.16","616.16","539.73","-10.80%"
"05/10/2020","616.15","643.15","643.15","590.61","-4.22%"
"05/03/2020","643.33","594.30","643.33","585.65","6.35%"
"04/26/2020","604.93","594.90","604.93","570.77","1.73%"
"04/19/2020","594.67","623.40","623.40","594.23","-4.63%"
"04/12/2020","623.55","521.56","623.55","521.56","19.55%"
"04/05/2020","521.58","642.42","652.30","414.79","-18.74%"
"03/29/2020","641.87","414.79","641.87","414.79","31.82%"
"03/22/2020","486.92","582.30","582.30","414.58","-4.53%"
"03/15/2020","510.03","456.41","586.73","456.41","9.24%"
"03/08/2020","466.88","381.63","496.99","381.63","22.07%"
"03/01/2020","382.48","368.09","382.48","320.43","2.43%"
"02/23/2020","373.42","282.66","373.42","282.66","31.76%"
"02/16/2020","283.40","263.30","286.18","255.47","7.65%"
"02/09/2020","263.25","256.40","276.06","256.40","3.31%"
"02/02/2020","254.81","238.29","240.75","236.57","6.25%"
"01/26/2020","239.82","236.49","244.48","234.75","1.33%"
"01/19/2020","236.68","246.34","246.47","236.60","-3.78%"
"01/12/2020","245.99","269.74","269.74","243.43","-8.67%"
"01/05/2020","269.34","279.28","283.27","268.75","-3.49%"
"12/29/2019","279.08","278.33","279.08","269.52","0.21%"
"12/22/2019","278.50","280.22","280.22","278.50","-0.54%"
"12/15/2019","280.02","289.03","289.03","279.98","-3.11%"
"12/08/2019","289.01","305.35","305.35","289.01","-5.35%"
"12/01/2019","305.35","313.30","318.62","305.35","-2.58%"
"11/24/2019","313.45","300.52","317.94","300.52","4.39%"
"11/17/2019","300.28","303.33","304.24","298.42","-0.79%"
"11/10/2019","302.68","311.89","311.93","302.68","-2.90%"
"11/03/2019","311.73","330.49","330.49","310.12","-5.70%"
"10/27/2019","330.58","331.27","331.40","320.63","-0.88%"
"10/20/2019","333.52","369.07","381.94","333.52","-9.60%"
"10/13/2019","368.93","384.43","403.76","368.93","-4.26%"
"10/06/2019","385.34","354.71","390.26","354.71","8.64%"
"09/29/2019","354.71","352.47","362.29","349.49","0.67%"
"09/22/2019","352.34","369.75","373.27","352.34","-5.35%"
"09/15/2019","372.25","374.02","374.02","364.59","-0.61%"
"09/08/2019","374.55","379.18","390.10","374.35","-1.10%"
"09/01/2019","378.70","422.15","422.34","372.08","-10.18%"
"08/25/2019","421.61","410.98","424.75","410.98","2.80%"
"08/18/2019","410.14","413.50","413.50","397.34","1.10%"
"08/11/2019","405.69","378.08","413.50","378.08","7.15%"
"08/04/2019","378.61","368.20","386.85","358.34","2.10%"
"07/28/2019","370.84","346.61","370.84","344.78","6.63%"
"07/21/2019","347.78","377.00","377.00","347.78","-5.20%"
"07/14/2019","366.85","400.73","400.73","366.85","-8.32%"
"07/07/2019","400.14","371.98","400.14","371.98","7.41%"
"06/30/2019","372.53","395.04","395.04","364.12","-5.62%"
"06/23/2019","394.71","439.82","439.82","394.71","-10.08%"
"06/16/2019","438.95","465.58","478.58","427.39","-7.89%"
"06/09/2019","476.53","468.01","476.53","458.23","2.41%"
"06/02/2019","465.30","480.17","484.46","461.11","-3.16%"
"05/26/2019","480.47","513.05","515.19","480.47","-6.55%"
"05/19/2019","514.15","483.43","515.19","480.89","6.39%"
"05/12/2019","483.28","471.73","492.94","471.73","0.06%"
"05/05/2019","482.99","432.53","488.77","431.95","11.78%"
"04/28/2019","432.09","455.27","455.27","432.09","-5.26%"
"04/21/2019","456.09","427.90","456.09","427.90","6.34%"
"04/14/2019","428.88","450.43","450.43","415.62","-4.31%"
"04/07/2019","448.21","386.15","448.21","386.15","16.35%"
"03/31/2019","385.21","419.12","419.12","377.20","-8.06%"
"03/24/2019","418.98","398.94","468.92","398.94","7.08%"
"03/17/2019","391.29","308.87","391.29","304.85","26.57%"
"03/10/2019","309.16","326.81","326.81","309.16","-5.61%"
"03/03/2019","327.55","305.14","327.55","305.14","7.02%"
"02/24/2019","306.07","318.92","318.92","299.26","-3.04%"
"02/17/2019","315.65","308.01","318.93","308.01","2.23%"
"02/10/2019","308.75","313.88","317.78","306.09","-1.70%"
"02/03/2019","314.09","306.03","314.09","292.25","2.67%"
"01/27/2019","305.91","314.90","327.50","299.78","-2.79%"
"01/20/2019","314.69","327.50","331.97","310.03","-4.44%"
"01/13/2019","329.31","363.13","375.71","329.31","-10.33%"
"01/06/2019","367.24","355.67","367.24","351.58","2.77%"
"12/30/2018","357.33","358.04","364.93","357.33","-0.40%"
"12/23/2018","358.76","378.56","378.56","358.75","-0.14%"
"12/16/2018","359.25","378.56","387.25","357.40","-4.53%"
"12/09/2018","376.28","387.25","388.96","376.28","-1.85%"
"12/02/2018","383.39","393.01","405.31","378.56","-0.82%"
"11/25/2018","386.55","391.84","405.31","386.55","-1.53%"
"11/18/2018","392.54","369.37","392.61","369.26","7.09%"
"11/11/2018","366.56","364.65","366.56","359.82","0.76%"
"11/04/2018","363.80","369.51","369.51","352.47","-1.56%"
"10/28/2018","369.58","389.73","389.73","369.58","-4.98%"
"10/21/2018","388.93","389.58","398.57","385.97","-0.16%"
"10/14/2018","389.55","395.19","395.19","379.14","-1.03%"
"10/07/2018","393.59","417.94","417.94","393.59","-5.44%"
"09/30/2018","416.24","372.03","416.63","372.03","12.13%"
"09/23/2018","371.22","394.54","394.54","358.94","-6.91%"
"09/16/2018","398.78","427.71","434.76","396.86","-6.00%"
"09/09/2018","424.23","522.04","522.04","424.23","-18.80%"
"09/02/2018","522.45","583.08","583.08","522.45","-10.24%"
"08/26/2018","582.02","473.01","582.02","472.89","22.37%"
"08/19/2018","475.61","492.84","508.04","473.00","-4.03%"
"08/12/2018","495.59","439.69","561.45","439.69","13.36%"
"08/05/2018","437.18","329.78","437.18","329.78","32.34%"
"07/29/2018","330.35","310.22","342.48","310.22","6.46%"
"07/22/2018","310.29","303.27","318.96","297.58","2.06%"
"07/15/2018","304.02","318.91","325.43","304.02","-4.53%"
"07/08/2018","318.45","281.77","329.99","271.98","12.64%"
"07/01/2018","282.71","291.40","298.36","233.22","-2.50%"
"06/24/2018","289.96","290.36","304.54","289.96","0.17%"
"06/17/2018","289.47","310.83","324.60","289.47","-7.16%"
"06/10/2018","311.79","270.84","311.79","270.84","14.92%"
"06/03/2018","271.31","278.61","278.61","264.36","-2.89%"
"05/27/2018","279.37","263.05","279.37","250.33","6.30%"
"05/20/2018","262.81","277.71","287.43","262.81","-5.26%"
"05/13/2018","277.39","233.68","277.39","233.61","18.43%"
"05/06/2018","234.23","230.62","248.24","229.28","2.15%"
"04/29/2018","229.30","193.60","229.30","189.70","18.51%"
"04/22/2018","193.48","193.57","194.02","191.52","-0.19%"
"04/15/2018","193.84","200.33","204.28","191.58","-2.84%"
"04/08/2018","199.51","197.23","209.50","197.23","1.44%"
"04/01/2018","196.67","191.44","196.67","190.89","2.75%"
"03/25/2018","191.40","197.26","200.92","191.40","-3.05%"
"03/18/2018","197.43","168.29","197.43","168.29","12.55%"
"03/11/2018","175.41","168.29","175.41","167.34","6.04%"
"03/04/2018","165.42","168.29","171.52","165.42","-4.82%"
"02/25/2018","173.80","167.34","173.80","164.41","1.95%"
"02/18/2018","170.48","162.44","170.52","162.18","4.64%"
"02/11/2018","162.92","176.14","180.74","162.92","-10.37%"
"02/04/2018","181.76","167.39","181.76","164.43","9.84%"
"01/28/2018","165.47","166.45","168.18","160.85","1.46%"
"01/21/2018","163.09","163.53","164.02","162.58","-2.74%"
"01/14/2018","167.68","158.64","167.68","156.18","8.04%"
"01/07/2018","155.20","160.57","163.54","155.20","-1.54%"
"12/31/2017","157.63","167.37","167.39","155.69","-5.38%"
"12/24/2017","166.60","167.33","168.28","166.60","-0.73%"
"12/17/2017","167.82","175.18","175.18","167.34","-3.93%"
"12/10/2017","174.69","182.92","182.92","174.65","-4.50%"
"12/03/2017","182.92","197.62","197.62","182.92","-8.06%"
"11/26/2017","198.95","197.58","204.42","197.58","-2.68%"
"11/19/2017","204.42","211.18","218.01","203.40","-1.05%"
"11/12/2017","206.58","214.09","214.09","201.27","-1.64%"
"11/05/2017","210.03","198.52","215.14","196.35","5.92%"
"10/29/2017","198.29","180.88","198.29","180.88","6.33%"
"10/22/2017","186.49","172.14","192.62","172.14","8.76%"
"10/15/2017","171.47","175.04","175.55","170.92","-2.98%"
"10/08/2017","176.74","182.82","186.24","175.04","0.97%"
"10/01/2017","175.04","181.84","181.84","172.78","-5.01%"
"09/24/2017","184.28","184.70","192.25","184.28","0.70%"
"09/17/2017","182.99","160.65","187.66","160.14","13.92%"
"09/10/2017","160.63","162.54","162.54","158.68","-0.74%"
"09/03/2017","161.82","158.60","162.54","158.12","2.18%"
"08/27/2017","158.36","170.32","173.66","158.36","-7.26%"
"08/20/2017","170.75","177.11","177.11","170.75","-3.81%"
"08/13/2017","177.52","181.86","181.86","171.19","-0.90%"
"08/06/2017","179.14","172.08","181.86","169.17","4.11%"
"07/30/2017","172.06","180.82","181.55","172.06","-5.09%"
"07/23/2017","181.29","181.30","185.94","179.87","0.55%"
"07/16/2017","180.29","188.62","188.62","179.83","-4.26%"
"07/09/2017","188.31","205.15","205.15","188.31","-8.32%"
"07/02/2017","205.41","193.20","205.41","193.20","6.31%"
"06/25/2017","193.21","187.66","194.45","186.70","2.86%"
"06/18/2017","187.83","186.69","195.39","186.67","0.80%"
"06/11/2017","186.34","188.28","188.28","178.95","-3.65%"
"06/04/2017","193.39","191.53","194.45","190.14","-0.34%"
"05/28/2017","194.05","194.05","196.39","193.95","0.00%"
"05/21/2017","194.05","206.01","206.01","194.05","-6.56%"
"05/14/2017","207.68","205.95","214.50","200.53","1.01%"
"05/07/2017","205.61","201.02","205.61","201.02","1.67%"
"04/30/2017","202.23","203.92","203.92","197.79","-0.81%"
"04/23/2017","203.89","227.10","227.10","203.89","-10.28%"
"04/16/2017","227.25","228.62","229.49","226.85","-0.97%"
"04/09/2017","229.48","231.63","233.93","228.72","-0.59%"
"04/02/2017","230.84","235.47","235.47","229.85","-1.93%"
"03/26/2017","235.39","230.47","235.78","230.47","2.41%"
"03/19/2017","229.84","236.25","236.25","227.61","5.26%"
"03/12/2017","218.35","229.10","234.36","218.35","-4.87%"
"03/05/2017","229.53","238.74","238.79","229.06","-4.07%"
"02/26/2017","239.26","233.85","241.20","232.83","2.46%"
"02/19/2017","233.51","236.66","236.95","230.83","-1.55%"
"02/12/2017","237.18","242.38","242.38","230.78","-2.56%"
"02/05/2017","243.42","243.29","253.19","243.29","0.23%"
"01/29/2017","242.86","266.50","266.50","242.86","-9.31%"
"01/22/2017","267.80","273.18","273.18","265.12","-2.28%"
"01/15/2017","274.05","280.01","280.30","274.05","-2.61%"
"01/08/2017","281.38","278.04","298.36","278.04","6.62%"
"01/01/2017","263.92","268.36","270.93","263.92","-1.63%"
"12/25/2016","268.30","268.20","269.24","268.20","-0.16%"
"12/18/2016","268.73","275.87","275.87","268.22","-2.93%"
"12/11/2016","276.85","277.95","279.86","272.19","-0.84%"
"12/04/2016","279.20","297.08","297.08","268.25","-6.30%"
"11/27/2016","297.96","292.23","301.50","282.72","1.62%"
"11/20/2016","293.20","290.20","293.20","281.46","1.19%"
"11/13/2016","289.74","286.64","295.79","282.36","1.13%"
"11/06/2016","286.51","269.18","286.51","257.76","6.44%"
"10/30/2016","269.17","248.64","269.17","248.64","8.17%"
"10/23/2016","248.84","241.86","248.86","239.39","2.83%"
"10/16/2016","242.00","246.64","252.16","241.87","-2.16%"
"10/09/2016","247.35","242.76","251.36","242.76","1.41%"
"10/02/2016","243.91","258.00","258.00","243.64","-5.46%"
"09/25/2016","258.00","254.15","268.69","248.68","6.33%"
"09/18/2016","242.64","240.47","258.33","237.56","0.59%"
"09/11/2016","241.22","236.52","244.57","236.52","1.47%"
"09/04/2016","237.73","238.51","241.16","231.68","-2.58%"
"08/28/2016","244.02","235.64","246.38","235.62","3.30%"
"08/21/2016","236.22","240.39","244.97","236.22","-2.85%"
"08/14/2016","243.16","239.37","243.16","235.53","1.06%"
"08/07/2016","240.62","266.31","266.31","238.14","-6.21%"
"07/31/2016","256.54","271.29","271.29","256.54","-5.57%"
"07/24/2016","271.66","268.42","271.66","266.42","0.47%"
